name_customer,cust_number,invoice_creation_date,invoice_due_date,clear_date,total_open_amount
WAL-MAR corp,200769623,2020-02-11,2020-02-11,2020-02-11,54273.28
BEN E ,200980828,2019-08-08,2019-08-08,2019-08-08,79656.6
MDV/ trust,200792734,2019-12-30,2019-12-30,2019-12-30,2253.86
SYSC llc,140105686,2019-12-30,2019-12-30,,3299.7
WAL-MAR foundation,200769623,2019-11-25,2019-11-25,2019-11-25,33133.29
THE  corporation,140106181,2019-12-04,2019-12-04,2019-12-04,22225.84
WAL-MAR in,200769623,2019-11-12,2019-11-12,2019-11-12,7358.49
TARG us,200744019,2019-11-12,2019-11-12,,11173.02
WAL-MAR corp,200769623,2019-06-18,2019-06-18,2019-06-18,15995.04
C&S WH systems,200762301,2019-03-06,2019-03-06,2019-03-06,28.63
AM ,200418007,2019-03-06,2019-03-06,,3525.59
BROOKS co,200743129,2019-01-22,2019-01-22,2019-01-22,103147.37
SYSC corporation,200186937,2019-05-06,2019-05-06,2019-05-06,16381.45
GO corporation,200721222,2019-11-01,2019-11-01,2019-11-01,19581.57
OK systems,200739534,2019-11-01,2019-11-01,,121105.65
DECA corporation,200353024,2019-11-01,2019-11-01,,3726.06
COST in,200794332,2019-11-12,2019-11-12,2019-11-12,5181.51
ALBERT corp,200881076,2019-12-17,2019-12-17,2019-12-17,19082.14
WAL-MAR trust,200769623,2019-11-26,2019-11-26,2019-11-26,12819.5
WAL-MAR systems,200769623,2020-02-05,2020-02-05,2020-02-05,53349.54
SYSTEMS systems,100053554,2020-02-11,2020-02-11,2020-02-11,5683.5
FAREW us,200783734,2019-09-04,2019-09-04,2019-09-04,11845.19
TARG associates,200744019,2019-09-04,2019-09-04,,5893.01
QUALITY C ,100006311,2019-07-30,2019-07-30,2019-07-30,20079.58
WAL-MAR co,200769623,2020-02-04,2020-02-04,2020-02-04,11307.78
WAL-M corp,140106408,2020-02-04,2020-02-04,,92832.27
WAL-MAR foundation,200769623,2019-01-30,2019-01-30,2019-01-30,36188.11
COAS llc,200337148,2019-01-30,2019-01-30,,11380.83
WAL-MAR foundation,200769623,2019-05-09,2019-05-09,2019-05-09,412.09
WAL-M associates,140106408,2019-05-06,2019-05-06,2019-05-06,48413.28
ALBER systems,200750051,2019-05-03,2019-05-03,2019-05-03,6023.53
GO trust,200721222,2019-10-07,2019-10-07,2019-10-07,17307.51
WAL-MAR in,200769623,2019-09-23,2019-09-23,2019-09-23,341.14
BJ'S  systems,200726979,2019-07-01,2019-07-01,2019-07-01,365.87
KRAFT  systems,CCCA02,2019-08-30,2019-08-30,2019-08-30,32751.88
COST associates,200794332,2019-08-30,2019-08-30,,3863.93
US  corp,200700919,2019-02-13,2019-02-13,2019-02-13,39221.31
COST llc,200794332,2019-02-13,2019-02-13,,74453.01
WAL-MAR corp,200769623,2019-06-27,2019-06-27,2019-06-27,46961.92
RESER llc,200149567,2019-07-19,2019-07-19,2019-07-19,51641.33
WAL-MAR corp,200769623,2019-11-19,2019-11-19,2019-11-19,52187.72
WAL-MAR associates,200769623,2020-01-21,2020-01-21,2020-01-21,4953.83
